#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz
0.768,-100927,0.0000000000000166164,-20113.3,-4.19777E-035,3.67666E-019,-4.24356E-035,-51.5461,9.8715E-016,-16.6816,
0.769,-101157,0.000000000000016543,-19639.6,-1.02727E-034,3.67666E-019,-2.60488E-035,-51.5956,9.87199E-016,-16.9101,
0.77,-101385,0.0000000000000164684,-19164.2,-9.35284E-035,3.67666E-019,-4.02041E-035,-51.6463,9.87247E-016,-17.1383,
0.771,-101610,0.0000000000000163927,-18687,-8.99804E-035,3.67666E-019,-5.00223E-035,-51.6982,9.87296E-016,-17.366,
0.772,-101833,0.0000000000000163158,-18208.3,2.7455E-035,-2.52839E-018,-1.44127E-035,-51.7511,9.87345E-016,-17.5932,
0.773,-102054,0.0000000000000162377,-17727.8,-2.97315E-035,-2.52839E-018,-1.4628E-035,-51.8052,9.87394E-016,-17.82,
0.774,-102272,0.0000000000000161585,-17245.8,1.94886E-034,3.67666E-019,5.25097E-035,-51.8603,9.87443E-016,-18.0464,
0.775,-102488,0.000000000000016078,-16762.1,3.89858E-036,-2.52839E-018,1.33233E-035,-51.9166,9.87492E-016,-18.2723,
0.776,-102702,0.0000000000000159965,-16276.9,1.39092E-037,-2.52839E-018,1.90841E-035,-51.974,9.87542E-016,-18.4977,
0.777,-102914,0.0000000000000159137,-15790.1,2.27084E-035,-2.52839E-018,-1.99556E-036,-52.0325,9.87591E-016,-18.7227,
0.778,-103123,0.0000000000000158299,-15301.7,1.14264E-035,-2.52839E-018,3.69514E-036,-52.092,9.87641E-016,-18.9472,
0.779,-103330,0.0000000000000157448,-14811.8,-3.77962E-035,-2.52839E-018,8.83793E-036,-52.1526,9.87691E-016,-19.1711,
0.78,-103534,0.0000000000000156586,-14320.3,3.15689E-035,-2.52839E-018,9.00916E-036,-52.2144,9.87741E-016,-19.3946,
0.781,-103737,0.0000000000000155713,-13827.4,-3.71643E-036,-2.52839E-018,7.12667E-036,-52.2772,9.87791E-016,-19.6176,
