#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz,,
0.167,-14208.5,1.8176E-015,-17288.6,5.74007E-035,3.61726E-019,3.67026E-034,-98.4884,1.0017E-015,72.0005,,,98.4884
0.168,-14145.8,1.83605E-015,-17512.5,1.34004E-034,-1.65623E-022,-1.14203E-033,-98.8037,1.00173E-015,71.7977,,,98.8037
0.169,-14081.5,1.85447E-015,-17735.6,-1.24637E-034,3.61726E-019,-1.14495E-033,-99.1131,1.00177E-015,71.5941,,,99.1131
0.17,-14015.8,1.87284E-015,-17957.9,-6.06197E-035,3.61726E-019,-1.15012E-033,-99.4167,1.0018E-015,71.3897,,,99.4167
0.171,-13948.5,1.89117E-015,-18179.4,-2.32067E-035,3.61726E-019,-1.11584E-034,-99.7145,1.00183E-015,71.1846,,,99.7145
0.172,-13879.9,1.90945E-015,-18400,-2.86742E-034,3.61726E-019,-5.25889E-033,-100.007,1.00187E-015,70.9789,,,100.007
0.173,-13809.7,1.92769E-015,-18619.8,-2.20778E-034,3.61726E-019,-5.26109E-033,-100.293,1.0019E-015,70.7726,,,100.293
0.174,-13738.2,1.94588E-015,-18838.7,-2.08461E-034,3.61726E-019,-4.29361E-033,-100.574,1.00193E-015,70.5658,,,100.574
0.175,-13665.4,1.96402E-015,-19056.8,6.89131E-035,3.61726E-019,-7.21852E-034,-100.849,1.00197E-015,70.3586,,,100.849
0.176,-13591.2,1.98212E-015,-19273.9,-2.46794E-034,3.61726E-019,-5.86407E-033,-101.119,1.002E-015,70.1511,,,101.119
0.177,-13515.7,2.00016E-015,-19490.2,-2.04027E-034,1.8078E-019,-5.86641E-033,-101.384,1.00203E-015,69.9432,,,101.384
0.178,-13439,2.01814E-015,-19705.6,-4.01833E-034,1.8078E-019,-4.7709E-033,-101.643,1.00207E-015,69.7351,,,101.643
0.179,-13361.1,2.03608E-015,-19920.1,-5.21198E-036,-1.65623E-022,-1.07501E-033,-101.896,1.0021E-015,69.5268,,,101.896
0.18,-13281.9,2.05395E-015,-20133.7,-3.17665E-034,1.8078E-019,-5.06036E-033,-102.145,1.00213E-015,69.3183,,,102.145
0.181,-13201.6,2.07177E-015,-20346.4,7.32596E-036,1.8078E-019,1.26702E-033,-102.388,1.00217E-015,69.1098,,,102.388
0.182,-13120.2,2.08953E-015,-20558.1,-1.38798E-034,1.8078E-019,-3.78408E-034,-102.626,1.0022E-015,68.9013,,,102.626
0.183,-13037.6,2.10723E-015,-20768.9,-3.54536E-034,1.8078E-019,-4.60372E-033,-102.859,1.00223E-015,68.6927,,,102.859
0.184,-12954,2.12487E-015,-20978.9,3.22308E-034,-1.81111E-019,3.10798E-033,-103.086,1.00227E-015,68.4843,,,103.086
0.185,-12869.3,2.14245E-015,-21187.8,1.2469E-034,-1.65618E-022,-1.14525E-033,-103.309,1.0023E-015,68.2759,,,103.309
0.186,-12783.7,2.15997E-015,-21395.9,1.33015E-034,-1.65618E-022,-1.14431E-033,-103.527,1.00233E-015,68.0678,,,103.527
