x beta x y z
3.4 2.4488603799 2.1433456104 1.7372064353 1.2566543896
3.5 2.5208856852 2.1537542078 1.7803675351 1.3462457922
3.6 2.5929109905 2.1620691772 1.8193874697 1.4379308228
3.7 2.6649362958 2.1685066722 1.8540639051 1.5314933278
3.8 2.7369616011 2.173292582 1.8842170301 1.626707418
3.9 2.8089869064 2.1766613597 1.9096904885 1.7233386403
4 2.8810122117 2.1788548072 1.9303521902 1.8211451928
4.1 2.953037517 2.1801208204 1.9460949959 1.9198791796
4.2 3.0250628223 2.1807121049 1.956837273 2.0192878951
4.3 3.0970881276 2.1808848647 1.9625233183 2.1191151353
4.4 3.1691134329 2.180897474 1.9631236474 2.219102526
4.5 3.2411387382 2.1810091375 1.9586351474 2.3189908625
4.6 3.3131640435 2.1814785465 1.949081093 2.4185214535
4.7 3.3851893488 2.1825625369 1.9345110257 2.5174374631
4.8 3.457214654 2.1845147579 1.9150004972 2.6154852421
4.9 3.5292399593 2.1875843565 1.8906506776 2.7124156435
5 3.6012652646 2.1920146859 1.8615878303 2.8079853141
5.1 3.6732905699 2.198042043 1.8279626579 2.901957957
5.2 3.7453158752 2.2058944438 1.7899495206 2.9941055562
5.3 3.8173411805 2.2157904404 1.7477455316 3.0842095596
5.4 3.8893664858 2.2279379883 1.7015695357 3.1720620117
5.5 3.9613917911 2.2425333677 1.651660974 3.2574666323
5.6 4.0334170964 2.2597601658 1.5982786425 3.3402398342
5.7 4.1054424017 2.2797883247 1.5416993499 3.4202116753
5.8 4.177467707 2.3027732606 1.4822164828 3.4972267394
5.9 4.2494930123 2.3288550575 1.4201384837 3.5711449425
6 4.3215183176 2.3581577408 1.3557872521 3.6418422592
6.1 4.3935436228 2.3907886344 1.2894964748 3.7092113656
6.2 4.4655689281 2.4268378043 1.2216098964 3.7731621957
6.3 4.5375942334 2.4663775909 1.152479536 3.8336224091
6.4 4.6096195387 2.5094622348 1.0824638624 3.8905377652
6.5 4.681644844 2.5561275949 1.0119259349 3.9438724051
6.6 4.7536701493 2.6063909625 0.9412315212 3.9936090375
6.7 4.8256954546 2.6602509721 0.8707472002 4.0397490279
6.8 4.8977207599 2.717687608 0.8008384615 4.082312392
6.9 4.9697460652 2.7786623081 0.73186781 4.1213376919
7 5.0417713705 2.8431181642 0.6641928863 4.1568818358
7.1 5.1137966758 2.910980217 0.598164612 4.189019783
7.2 5.1858219811 2.9821558444 0.5341253705 4.2178441556
7.3 5.2578472864 3.0565352424 0.4724072308 4.2434647576
7.4 5.3298725917 3.133991994 0.4133302265 4.266008006
7.5 5.4018978969 3.2143837248 0.3572006954 4.2856162752
7.6 5.4739232022 3.2975528415 0.3043096919 4.3024471585
7.7 5.5459485075 3.3833273488 0.2549314771 4.3166726512
7.8 5.6179738128 3.4715217416 0.2093220968 4.3284782584
7.9 5.6899991181 3.5619379666 0.1677180541 4.3380620334
8 5.7620244234 3.6543664494 0.1303350827 4.3456335506
8.1 5.8340497287 3.7485871812 0.0973670282 4.3514128188
8.2 5.906075034 3.8443708598 0.0689848434 4.3556291402
8.3 5.9781003393 3.9414800782 0.0453357013 4.3585199218
8.4 6.0501256446 4.0396705564 0.0265422322 4.3603294436
8.5 6.1221509499 4.1386924073 0.0127018878 4.3613075927
8.6 6.1941762552 4.2382914328 0.0038864358 4.3617085672
8.7 6.2662015605 4.338210442 0.000141588 4.361789558
8.8 6.3382268657 4.4381905849 0.0014867628 4.3618094151
8.9 6.410252171 4.5379726942 0.0079149851 4.3620273058
9 6.4822774763 4.6372986297 0.0193929218 4.3627013703
